Time [h]	NetworkElement.FluidMassFlux [kg/s]	NetworkElement(id=1).FluidMassFlux [kg/s]	NetworkElement(id=2).FluidMassFlux [kg/s]	NetworkElement(id=4).FluidMassFlux [kg/s]	NetworkElement(id=6).FluidMassFlux [kg/s]	NetworkElement(id=7).FluidMassFlux [kg/s]	NetworkElement(id=8).FluidMassFlux [kg/s]	NetworkElement(id=9).FluidMassFlux [kg/s]	NetworkElement(id=10).FluidMassFlux [kg/s]	NetworkElement(id=11).FluidMassFlux [kg/s]	NetworkElement(id=12).FluidMassFlux [kg/s]	NetworkElement(id=13).FluidMassFlux [kg/s]	NetworkElement(id=14).FluidMassFlux [kg/s]	NetworkElement(id=15).FluidMassFlux [kg/s]	NetworkElement(id=16).FluidMassFlux [kg/s]	NetworkElement(id=17).FluidMassFlux [kg/s]	NetworkElement(id=18).FluidMassFlux [kg/s]	NetworkElement(id=19).FluidMassFlux [kg/s]	NetworkElement(id=20).FluidMassFlux [kg/s]	NetworkElement(id=21).FluidMassFlux [kg/s]	NetworkElement.InletNodePressure [Pa]	NetworkElement(id=1).InletNodePressure [Pa]	NetworkElement(id=2).InletNodePressure [Pa]	NetworkElement(id=4).InletNodePressure [Pa]	NetworkElement(id=6).InletNodePressure [Pa]	NetworkElement(id=7).InletNodePressure [Pa]	NetworkElement(id=8).InletNodePressure [Pa]	NetworkElement(id=9).InletNodePressure [Pa]	NetworkElement(id=10).InletNodePressure [Pa]	NetworkElement(id=11).InletNodePressure [Pa]	NetworkElement(id=12).InletNodePressure [Pa]	NetworkElement(id=13).InletNodePressure [Pa]	NetworkElement(id=14).InletNodePressure [Pa]	NetworkElement(id=15).InletNodePressure [Pa]	NetworkElement(id=16).InletNodePressure [Pa]	NetworkElement(id=17).InletNodePressure [Pa]	NetworkElement(id=18).InletNodePressure [Pa]	NetworkElement(id=19).InletNodePressure [Pa]	NetworkElement(id=20).InletNodePressure [Pa]	NetworkElement(id=21).InletNodePressure [Pa]	NetworkElement.InletNodeTemperature [C]	NetworkElement(id=1).InletNodeTemperature [C]	NetworkElement(id=2).InletNodeTemperature [C]	NetworkElement(id=4).InletNodeTemperature [C]	NetworkElement(id=6).InletNodeTemperature [C]	NetworkElement(id=7).InletNodeTemperature [C]	NetworkElement(id=8).InletNodeTemperature [C]	NetworkElement(id=9).InletNodeTemperature [C]	NetworkElement(id=10).InletNodeTemperature [C]	NetworkElement(id=11).InletNodeTemperature [C]	NetworkElement(id=12).InletNodeTemperature [C]	NetworkElement(id=13).InletNodeTemperature [C]	NetworkElement(id=14).InletNodeTemperature [C]	NetworkElement(id=15).InletNodeTemperature [C]	NetworkElement(id=16).InletNodeTemperature [C]	NetworkElement(id=17).InletNodeTemperature [C]	NetworkElement(id=18).InletNodeTemperature [C]	NetworkElement(id=19).InletNodeTemperature [C]	NetworkElement(id=20).InletNodeTemperature [C]	NetworkElement(id=21).InletNodeTemperature [C]
219	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
220	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
221	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
222	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
223	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
224	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
225	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
226	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
227	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
228	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
229	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
230	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
231	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
232	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
233	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
234	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
235	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
236	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
237	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
238	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
239	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
240	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
241	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
242	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
243	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
244	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
245	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
246	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
247	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
248	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
249	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
250	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
251	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
252	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
253	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
254	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
255	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
256	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
257	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
258	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
259	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
260	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
261	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9798	11.9801	11.9801	11.9801	11.9805	11.9805	11.9798	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.9796	11.98	11.979	11.9802	11.9786	11.9802	11.9786
